huishouden_id,woonoppervlak_m2,aantal_personen,woningtype,bouwjaar,isolatieklasse,gemiddeld_verbruik_kwh,gemiddeld_verbruik_m3,duurzaam_actief,inkomen_klasse,bouwperiode
HH0300,119,2,Appartement,2010,Slecht,2397.0,1046.0,Nee,Midden,1995-2010
HH0301,75,2,Hoekwoning,2002,Matig,2210.0,484.0,Ja,Hoog,1995-2010
HH0302,83,3,Hoekwoning,1995,Matig,2644.0,774.0,Nee,Laag,1975-1995
HH0303,122,4,Hoekwoning,1981,Slecht,3316.0,1586.0,Nee,Hoog,1975-1995
HH0304,28,4,Appartement,2000,Goed,2834.0,198.0,Nee,Laag,1995-2010
HH0305,99,5,Appartement,1981,Matig,3623.0,1102.0,Nee,Laag,1975-1995
HH0306,104,5,Hoekwoning,1995,Goed,3654.0,987.0,Nee,Laag,1975-1995
HH0307,138,1,Vrijstaand,1975,Matig,2055.0,1205.0,Nee,,1945-1975
HH0308,82,2,Vrijstaand,2007,Slecht,2190.0,751.0,Nee,Midden,1995-2010
HH0309,116,5,Tussenwoning,1946,Slecht,3803.0,1796.0,Nee,Midden,1945-1975
HH0310,94,4,Hoekwoning,1993,Slecht,3128.0,1064.0,Nee,Laag,1975-1995
HH0311,93,3,Tussenwoning,1940,Matig,2706.0,1056.0,Nee,Hoog,<1945
HH0312,133,4,Vrijstaand,1983,Goed,3336.0,1172.0,Nee,Laag,1975-1995
HH0313,125,2,Tussenwoning,1984,Goed,2515.0,787.0,Nee,,1975-1995
HH0314,124,4,Hoekwoning,1986,Goed,3332.0,1078.0,Nee,Hoog,1975-1995
HH0315,139,1,Hoekwoning,1952,Matig,2117.0,1208.0,Nee,,1945-1975
HH0316,101,2,Hoekwoning,1961,Matig,2230.0,1007.0,Ja,Midden,1945-1975
HH0317,120,3,Appartement,1960,Matig,2866.0,1255.0,Ja,,1945-1975
HH0318,91,1,Tussenwoning,1948,Matig,1845.0,790.0,Nee,Laag,1945-1975
HH0319,110,2,Vrijstaand,1965,Matig,2355.0,1018.0,Ja,Laag,1945-1975
HH0320,96,3,Vrijstaand,1948,Goed,2781.0,833.0,Nee,Laag,1945-1975
HH0321,103,1,Tussen woning,1954,Matig,1838.0,941.0,Nee,Laag,1945-1975
HH0322,118,1,Appartement,1949,Matig,2023.0,985.0,Nee,,1945-1975
HH0323,75,2,Appartement,1981,Goed,2261.0,548.0,Nee,Hoog,1975-1995
HH0324,163,5,Hoekwoning,2011,Matig,7331.0,1355.0,Nee,Hoog,>2010
HH0325,70,1,Vrijstaand,1963,Goed,1684.0,565.0,Nee,Midden,1945-1975
HH0326,64,1,Appartement,2019,Goed,1717.0,311.0,Nee,Hoog,>2010
HH0327,135,3,Tussen woning,1988,Slecht,3032.0,1454.0,Nee,Laag,1975-1995
HH0328,124,4,Vrijstaand,1965,Slecht,3288.0,1589.0,Nee,,1945-1975
HH0329,119,2,Tussenwoning,1976,Slecht,2370.0,1180.0,Ja,Laag,1975-1995
HH0330,119,2,Hoekwoning,2007,Slecht,2378.0,992.0,Nee,Laag,1995-2010
HH0331,100,5,Appartement,1989,Matig,3583.0,1107.0,Nee,Hoog,1975-1995
HH0332,73,5,Appartement,1963,Slecht,3481.0,1102.0,Ja,Hoog,1945-1975
HH0333,102,2,Hoekwoning,1958,Goed,2259.0,832.0,Nee,Laag,1945-1975
HH0334,80,5,Hoekwoning,1999,Matig,3519.0,672.0,Nee,Laag,1995-2010
HH0335,129,3,Appartement,1978,Slecht,2893.0,1471.0,Ja,,1975-1995
HH0336,96,2,Tussenwoning,2013,Goed,2291.0,535.0,Nee,Hoog,>2010
HH0337,75,5,Vrijstaand,1957,Matig,3583.0,1062.0,Ja,Midden,1945-1975
HH0338,90,2,Tussenwoning,1958,Matig,2205.0,903.0,Ja,Midden,1945-1975
HH0339,112,4,Hoekwoning,1975,Slecht,3315.0,1647.0,Nee,Midden,1945-1975
HH0340,83,1,Tussenwoning,2013,Matig,1756.0,416.0,Nee,Laag,>2010
HH0341,75,2,Appartement,1994,maitg,2173.0,,Nee,Midden,1975-1995
HH0342,107,1,Hoekwoning,2008,Matig,1921.0,775.0,Nee,Midden,1995-2010
HH0343,107,5,Vrijstaand,1986,Goed,3625.0,1031.0,Nee,Laag,1975-1995
HH0344,85,1,Appartement,1988,Matig,1791.0,689.0,Nee,Hoog,1975-1995
HH0345,86,2,Appartement,1972,Slecht,4896.0,1005.0,Ja,Hoog,1945-1975
HH0346,107,4,Vrijstaand,1960,Goed,3261.0,1106.0,Nee,Midden,1945-1975
HH0347,57,5,Vrijstaand,2020,Matig,3443.0,465.0,Ja,,>2010
HH0348,58,2,Tussenwoning,1961,Matig,2161.0,584.0,Ja,Hoog,1945-1975
HH0349,78,5,Hoekwoning,1987,,3515.0,,Nee,Midden,1975-1995
HH0350,94,3,Vrijstaand,1976,Goed,2695.0,734.0,Ja,Midden,1975-1995
HH0351,109,1,Vrijstaand,1954,Goed,1861.0,906.0,Ja,Laag,1945-1975
HH0352,144,3,Hoekwoning,1974,Goed,2930.0,1310.0,Ja,Midden,1945-1975
HH0353,126,2,Vrijstaand,2010,Slecht,2390.0,1162.0,Nee,Hoog,1995-2010
HH0354,95,4,Vrijstaand,1971,Slecht,3231.0,1331.0,Nee,Laag,1945-1975
HH0355,99,5,Tussenwoning,1950,Goed,3715.0,998.0,Nee,Hoog,1945-1975
HH0356,70,1,Appartement,1949,Matig,1680.0,575.0,Nee,Hoog,1945-1975
HH0357,99,5,Appartement,2012,Slecht,5895.0,840.0,Nee,Hoog,>2010
HH0358,91,2,Appartement,2017,Goed,2276.0,405.0,Nee,,>2010
HH0359,110,5,Appartement,2016,,3670.0,,Ja,Midden,>2010
HH0360,75,1,Vrijstaand,1996,Slecht,1749.0,549.0,Nee,Hoog,1995-2010
HH0361,116,2,Hoekwoning,1964,,4079.0,,Nee,Hoog,1945-1975
HH0362,146,5,Hoekwoning,1941,Matig,3769.0,2008.0,Nee,Laag,<1945
HH0363,97,4,Tussenwoning,2003,Matig,3260.0,812.0,Nee,,1995-2010
HH0364,112,2,Tussenwoning,1974,Matig,2461.0,1116.0,Nee,Midden,1945-1975
HH0365,121,2,Vrijstaand,1946,Slecht,2368.0,1448.0,Nee,Midden,1945-1975
HH0366,88,4,Hoekwoning,1957,Slecht,3123.0,1250.0,Nee,Laag,1945-1975
HH0367,107,3,Hoekwoning,2006,Slecht,2800.0,1078.0,Nee,Hoog,1995-2010
HH0368,100,1,Appartement,1981,Goed,1867.0,641.0,Nee,Midden,1975-1995
HH0369,103,3,Vrijstaand,1978,Slecht,2799.0,1168.0,Nee,Hoog,1975-1995
HH0370,77,5,Vrijstaand,1980,Matig,3612.0,803.0,Nee,Laag,1975-1995
HH0371,101,4,Appartement,2014,Slecht,3196.0,830.0,Nee,Midden,>2010
HH0372,115,3,Vrijstaand,1963,Matig,2779.0,1226.0,Ja,,1945-1975
HH0373,144,2,Vrijstaand,1999,,2421.0,,Nee,Laag,1995-2010
HH0374,129,5,Tussenwoning,1985,,3748.0,,Ja,Midden,1975-1995
HH0375,165,5,Hoekwoning,1958,Matig,3972.0,2183.0,Nee,,1945-1975
HH0376,77,3,Vrijstaand,2007,Matig,2704.0,634.0,Nee,Midden,1995-2010
HH0377,126,3,Tussenwoning,1981,Goed,2847.0,988.0,Nee,Laag,1975-1995
HH0378,106,4,Hoekwoning,1971,Slecht,3242.0,1529.0,Ja,Midden,1945-1975
HH0379,166,1,Tussen woning,1978,Slecht,4207.0,1634.0,Nee,Hoog,1975-1995
HH0380,76,3,Tussen woning,1975,Goed,2675.0,664.0,Ja,,1945-1975
HH0381,75,3,Tussenwoning,1975,Matig,5556.0,863.0,Nee,Hoog,1945-1975
HH0382,82,2,Hoekwoning,1942,Slecht,2188.0,980.0,Nee,,<1945
HH0383,36,5,Appartement,2012,Goed,3321.0,246.0,Nee,Midden,>2010
HH0384,84,1,Tussenwoning,1947,Slecht,1814.0,924.0,Nee,,1945-1975
HH0385,77,2,Vrijstaand,2009,Goed,2211.0,496.0,Nee,Hoog,1995-2010
HH0386,37,4,Vrijstaand,1980,Matig,2919.0,399.0,Ja,Laag,1975-1995
HH0387,110,4,Vrijstaand,2007,Slecht,3282.0,1046.0,Ja,Laag,1995-2010
HH0388,156,3,Appartement,1952,Goed,3002.0,1391.0,Nee,Laag,1945-1975
HH0389,129,3,Tussenwoning,1988,Slecht,2933.0,1582.0,Nee,Hoog,1975-1995
HH0390,83,4,Vrijstaand,1999,Slecht,3161.0,920.0,Nee,Hoog,1995-2010
HH0391,73,3,Appartement,1941,Slecht,4686.0,1021.0,Ja,Hoog,<1945
HH0392,115,1,Vrijstaand,1999,Slecht,1954.0,842.0,Nee,Laag,1995-2010
HH0393,60,3,Hoekwoning,1944,Goed,2582.0,635.0,Nee,Midden,<1945
HH0394,155,5,Tussenwoning,1983,Matig,4016.0,1711.0,Nee,,1975-1995
HH0395,135,3,Tussenwoning,1966,Goed,3018.0,1215.0,Ja,Midden,1945-1975
HH0396,86,2,Appartement,1971,Goed,2258.0,676.0,Ja,Midden,1945-1975
HH0397,49,1,Appartement,1960,Goed,1591.0,366.0,Nee,Midden,1945-1975
HH0398,141,2,Tussenwoning,1947,Matig,2515.0,1432.0,Nee,Laag,1945-1975
HH0399,97,2,Vrijstaand,2011,Slecht,2344.0,686.0,Ja,Midden,>2010
HH0400,137,5,Vrijstaand,1989,Slecht,3779.0,1904.0,Nee,Hoog,1975-1995
HH0401,52,1,Hoekwoning,2006,Slecht,1620.0,399.0,Nee,Laag,1995-2010
HH0402,82,1,Vrijstaand,1983,Matig,1744.0,715.0,Nee,,1975-1995
HH0403,100,1,Appartement,1997,Slecht,1851.0,797.0,Nee,Hoog,1995-2010
HH0404,101,1,Appartement,1942,Matig,1920.0,1068.0,Nee,Laag,<1945
HH0405,86,1,Vrijstaand,2009,Slecht,1788.0,594.0,Ja,Hoog,1995-2010
HH0406,119,5,Appartement,1941,Slecht,3748.0,1982.0,Nee,Hoog,<1945
HH0407,68,3,Tussenwoning,1983,Goed,2544.0,533.0,Nee,Laag,1975-1995
HH0408,96,2,Tussenwoning,1941,Matig,2316.0,998.0,Ja,Hoog,<1945
HH0409,104,1,Vrijstaand,2020,Goed,1904.0,405.0,Ja,Midden,>2010
HH0410,115,3,Tussenwoning,1974,Goed,2949.0,1024.0,Nee,Hoog,1945-1975
HH0411,121,3,Tussenwoning,1969,Goed,2836.0,1207.0,Ja,Midden,1945-1975
HH0412,66,2,Hoekwoning,1947,,2137.0,,Ja,Hoog,1945-1975
HH0413,54,5,Hoekwoning,1961,Matig,3427.0,712.0,Ja,Laag,1945-1975
HH0414,138,4,Tussenwoning,1983,Slecht,3499.0,1793.0,Ja,Laag,1975-1995
HH0415,110,4,Vrijstaand,1997,Goed,3245.0,801.0,Nee,Hoog,1995-2010
HH0416,78,3,Hoekwoning,1975,Slecht,2651.0,1072.0,Nee,Laag,1945-1975
HH0417,147,2,Appartement,2008,Goed,4951.0,898.0,Nee,Hoog,1995-2010
HH0418,103,4,Appartement,2016,Matig,3225.0,766.0,Ja,Laag,>2010
HH0419,135,3,Appartement,1970,Matig,2895.0,1359.0,Ja,Midden,1945-1975
HH0420,102,5,Vrijstaand,1986,Matig,6804.0,1138.0,Nee,Hoog,1975-1995
HH0421,162,4,Tussenwoning,1994,Goed,3597.0,1440.0,Nee,Midden,1975-1995
HH0422,153,3,Appartement,2019,Matig,2936.0,953.0,Nee,Midden,>2010
HH0423,93,3,Vrijstaand,2001,Goed,5740.0,585.0,Nee,Hoog,1995-2010
HH0424,129,1,Hoekwoning,1969,Slecht,1950.0,1206.0,Nee,Midden,1945-1975
HH0425,119,5,Tussenwoning,1994,,3816.0,,Ja,,1975-1995
HH0426,141,1,Hoekwoning,1955,Slecht,1948.0,1480.0,Nee,Midden,1945-1975
HH0427,71,2,Vrijstaand,1951,Goed,2135.0,615.0,Nee,Hoog,1945-1975
HH0428,121,1,Appartement,1956,Slecht,1978.0,1296.0,Nee,Hoog,1945-1975
HH0429,132,1,Appartement,1955,Matig,2113.0,1272.0,Ja,Laag,1945-1975
HH0430,47,4,Vrijstaand,1951,Slecht,2933.0,675.0,Nee,Hoog,1945-1975
HH0431,65,3,Appartement,1947,Matig,2557.0,732.0,Nee,Hoog,1945-1975
HH0432,39,5,Tussenwoning,1942,Matig,3382.0,575.0,Ja,Midden,<1945
HH0433,92,1,Vrijstaand,1955,maitg,3551.0,,Ja,Hoog,1945-1975
HH0434,122,5,Hoekwoning,1969,Goed,3626.0,1288.0,Ja,Laag,1945-1975
HH0435,145,1,Vrijstaand,1962,Goed,2107.0,1104.0,Nee,Midden,1945-1975
HH0436,102,2,Tussenwoning,1944,Goed,2284.0,952.0,Ja,Midden,<1945
HH0437,149,1,Tussenwoning,2004,Goed,2019.0,758.0,Nee,Laag,1995-2010
HH0438,59,4,Vrijstaand,1969,Goed,3016.0,595.0,Nee,,1945-1975
HH0439,49,3,Vrijstaand,1960,Matig,2501.0,491.0,Nee,Midden,1945-1975
HH0440,98,2,Appartement,2009,Goed,2262.0,602.0,Nee,Midden,1995-2010
HH0441,112,1,Tussenwoning,1961,Matig,1838.0,1030.0,Nee,Midden,1945-1975
HH0442,99,5,Vrijstaand,2021,Matig,3688.0,803.0,Ja,Laag,>2010
HH0443,38,2,Vrijstaand,2011,Matig,2002.0,206.0,Ja,Laag,>2010
HH0444,97,2,Tussenwoning,1971,Slecht,2280.0,1026.0,Ja,,1945-1975
HH0445,61,1,Vrijstaand,1972,Slecht,1711.0,540.0,Nee,Midden,1945-1975
HH0446,120,2,Appartement,1955,Matig,2336.0,1134.0,Ja,Laag,1945-1975
HH0447,111,5,Tussenwoning,2015,Slecht,3620.0,1033.0,Ja,,>2010
HH0448,72,2,Appartement,1977,Goed,2135.0,458.0,Nee,Laag,1975-1995
HH0449,85,5,Appartement,1953,Goed,3573.0,887.0,Nee,Midden,1945-1975
HH0450,68,1,Appartement,1975,,1698.0,,Ja,Midden,1945-1975
HH0451,98,3,Appartement,1962,Goed,4927.0,856.0,Ja,Hoog,1945-1975
HH0452,129,2,Tussenwoning,2005,Matig,2468.0,985.0,Ja,Laag,1995-2010
HH0453,70,3,Appartement,1941,Matig,2556.0,853.0,Nee,Midden,<1945
HH0454,115,5,Appartement,2012,Goed,3808.0,832.0,Nee,Laag,>2010
HH0455,84,2,Vrijstaand,2004,Slecht,2217.0,749.0,Ja,Midden,1995-2010
HH0456,76,4,Tussenwoning,2014,Goed,3122.0,449.0,Ja,Laag,>2010
HH0457,97,3,Tussenwoning,2006,Goed,2752.0,713.0,Ja,Midden,1995-2010
HH0458,69,2,Hoekwoning,1991,Matig,2161.0,610.0,Ja,Hoog,1975-1995
HH0459,83,3,Tussenwoning,2001,Matig,2689.0,588.0,Nee,Hoog,1995-2010
HH0460,64,2,Tussenwoning,1962,Matig,2134.0,605.0,Nee,Laag,1945-1975
HH0461,159,1,Hoekwoning,1965,Matig,2196.0,1310.0,Nee,,1945-1975
HH0462,101,3,Tussenwoning,2007,Slecht,2822.0,945.0,Nee,Midden,1995-2010
HH0463,79,4,Tussenwoning,2021,Slecht,3103.0,690.0,Ja,Laag,>2010
HH0464,106,4,Tussenwoning,1994,Slecht,3268.0,1385.0,Nee,Midden,1975-1995
HH0465,97,5,Tussenwoning,1945,Matig,3631.0,1422.0,Nee,Laag,<1945
HH0466,93,2,Hoekwoning,1974,maitg,2332.0,,Nee,Midden,1945-1975
HH0467,118,3,Tussenwoning,1961,maitg,2800.0,,Nee,Laag,1945-1975
HH0468,123,5,Tussenwoning,1982,Slecht,3876.0,1610.0,Ja,,1975-1995
HH0469,84,3,Hoekwoning,1954,Matig,2668.0,932.0,Ja,Laag,1945-1975
HH0470,83,2,Vrijstaand,1999,Goed,2156.0,497.0,Ja,Midden,1995-2010
HH0471,92,4,Appartement,1951,Goed,3166.0,987.0,Nee,Hoog,1945-1975
HH0472,31,1,Vrijstaand,1988,Matig,1494.0,234.0,Nee,Midden,1975-1995
HH0473,55,4,Hoekwoning,1981,Goed,2998.0,461.0,Nee,Laag,1975-1995
HH0474,141,5,Appartement,1977,Goed,3809.0,1230.0,Nee,Hoog,1975-1995
HH0475,149,1,Hoekwoning,2021,Slecht,2062.0,946.0,Nee,Midden,>2010
HH0476,93,5,Hoekwoning,1984,Matig,3527.0,1002.0,Nee,Hoog,1975-1995
HH0477,117,2,Tussenwoning,1974,Matig,2359.0,1222.0,Ja,Midden,1945-1975
HH0478,109,1,Appartement,1969,Slecht,1763.0,1171.0,Nee,Hoog,1945-1975
HH0479,192,5,Tussenwoning,1969,Goed,3958.0,2116.0,Ja,Laag,1945-1975
HH0480,134,2,Appartement,2017,Goed,2521.0,657.0,Nee,Midden,>2010
HH0481,96,4,Hoekwoning,1945,Matig,3218.0,1320.0,Nee,Midden,<1945
HH0482,71,2,Hoekwoning,2006,Goed,2170.0,406.0,Ja,Laag,1995-2010
HH0483,52,3,Vrijstaand,2019,Slecht,2485.0,357.0,Nee,Hoog,>2010
HH0484,106,2,Appartement,1946,Slecht,2327.0,1136.0,Nee,Laag,1945-1975
HH0485,77,2,Tussenwoning,1991,Matig,2185.0,650.0,Nee,Laag,1975-1995
HH0486,57,3,Vrijstaand,1953,Slecht,2502.0,825.0,Nee,,1945-1975
HH0487,81,5,Vrijstaand,2012,Slecht,3616.0,804.0,Nee,Laag,>2010
HH0488,68,5,Vrijstaand,1954,Matig,3520.0,876.0,Ja,Midden,1945-1975
HH0489,151,2,Tussenwoning,1960,maitg,2538.0,,Ja,Midden,1945-1975
HH0490,126,3,Vrijstaand,1974,Slecht,2882.0,1589.0,Ja,Midden,1945-1975
HH0491,100,3,Tussenwoning,2005,Slecht,2760.0,946.0,Nee,Laag,1995-2010
HH0492,144,4,Vrijstaand,1941,Goed,3273.0,1603.0,Ja,Midden,<1945
HH0493,102,5,Tussenwoning,1974,Matig,3647.0,1411.0,Nee,Midden,1945-1975
HH0494,74,1,Hoekwoning,2021,Matig,1695.0,350.0,Nee,Midden,>2010
HH0495,146,5,Hoekwoning,2017,Matig,3807.0,1210.0,Nee,Midden,>2010
HH0496,116,5,Hoekwoning,1959,Goed,3714.0,1229.0,Nee,Midden,1945-1975
HH0497,69,4,Hoekwoning,2021,Goed,3107.0,389.0,Nee,,>2010
HH0498,94,1,Hoekwoning,1949,Matig,1850.0,780.0,Nee,Laag,1945-1975
HH0499,74,4,Vrijstaand,1964,,3049.0,,Ja,Midden,1945-1975
HH0500,59,1,Vrijstaand,2005,Matig,1662.0,406.0,Ja,Midden,1995-2010
